Frame;Time;HeadPosition;HandDetected;HighConfidence;HandPosition;HandVelocity;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;WristTwist
2750;11,82008076;(-0.085, 1.052, -0.168);True;True;(-0.003, 0.818, 0.148);(0.0654, 0.1134, -0.0496);False;False;False;0;0;0;0;0;0;0;0;149,012
2760;11,96008396;(-0.081, 1.046, -0.159);True;True;(0.054, 0.849, 0.115);(0.4963, 0.2390, -0.4583);False;False;False;0;0;0;0;0;0;0;0;142,825
2770;12,10008717;(-0.072, 1.040, -0.153);True;True;(0.143, 0.857, 0.056);(0.9246, -0.2220, -0.5306);False;False;False;0;0;0;0;0;0;0;0;144,84
2775;12,16008854;(-0.066, 1.039, -0.150);True;True;(0.170, 0.840, 0.030);(0.5453, -0.3785, -0.4329);False;False;False;0;0;0;0;0;0;0;0;142,244
2780;12,24009037;(-0.060, 1.037, -0.148);True;True;(0.195, 0.816, 0.017);(0.2121, -0.2582, -0.1049);False;False;False;0;0;0;0;0;0;0;0;144,663
2785;12,30009174;(-0.055, 1.036, -0.145);True;True;(0.213, 0.794, 0.002);(0.3320, -0.4734, -0.2602);False;False;False;0;0;0;0;0;0;0;0;148,74
2790;12,38009357;(-0.050, 1.035, -0.143);True;True;(0.222, 0.785, -0.011);(0.0630, -0.0993, -0.0926);False;False;False;0;0;0;0;0;0;0;0;157,205
2795;12,44009495;(-0.047, 1.033, -0.143);True;True;(0.220, 0.779, -0.012);(-0.1116, -0.1568, 0.0144);False;False;False;0;0;0;0;0;0;0;0;154,196
2805;12,58009815;(-0.043, 1.032, -0.143);True;True;(0.209, 0.714, 0.052);(0.0731, -1.0313, 0.9266);False;False;False;0;0;0;0;0;0;0;0;151,344
2815;12,72010136;(-0.046, 1.033, -0.141);True;True;(0.197, 0.672, 0.091);(-0.2203, 0.0125, 0.0693);False;False;False;0;0;0;0;0;0;0;0;162,269
2825;12,86010456;(-0.052, 1.033, -0.141);True;True;(0.202, 0.657, 0.098);(0.0244, 0.0430, -0.0814);False;True;False;1;0,5123762;0,275893;0,01545054;0;0;0;0;156,697
2835;13,00010777;(-0.059, 1.033, -0.143);True;True;(0.202, 0.705, 0.071);(-0.0161, 0.3803, -0.1949);False;True;False;1;1;0,7578388;0,431258;0;0;0;0;130,212
2845;13,14011097;(-0.064, 1.034, -0.149);True;True;(0.162, 0.803, 0.028);(-0.3474, 0.4211, -0.1088);False;True;False;1;1;1;0,6552246;0;0;0;0;125,713
2855;13,28011417;(-0.067, 1.035, -0.153);True;True;(0.096, 0.835, 0.037);(-0.2925, 0.0290, 0.1324);False;True;False;1;1;1;0,7172003;0;0;0;0;114,854
2860;13,34011555;(-0.069, 1.036, -0.154);True;True;(0.057, 0.834, 0.057);(-0.8335, -0.1701, 0.4813);False;True;False;1;1;0,9815713;0,6731457;0;0;0;0;159,876
2865;13,42011738;(-0.072, 1.036, -0.153);True;True;(0.025, 0.816, 0.092);(-0.4026, -0.2417, 0.3807);False;True;False;1;1;0,9768246;0,6504589;0;0;0;0;152,903
2870;13,48011875;(-0.074, 1.036, -0.152);True;True;(-0.010, 0.789, 0.117);(-0.5795, -0.7230, 0.5498);False;True;False;1;1;1;0,6554625;0;0;0;0;141,023
2875;13,56012058;(-0.078, 1.036, -0.150);True;True;(-0.017, 0.765, 0.140);(-0.0199, -0.1564, 0.3076);False;True;False;1;0,9680055;0,7468159;0,3347847;0;0;0;0;139,641
2880;13,62012196;(-0.081, 1.036, -0.148);True;True;(-0.012, 0.764, 0.147);(0.2217, 0.2759, -0.1854);False;False;False;0;0;0;0;0;0;0;0;126,187
2885;13,70012379;(-0.083, 1.035, -0.147);True;True;(0.001, 0.778, 0.142);(0.1620, 0.1430, -0.0432);False;False;False;0;0;0;0;0;0;0;0;122,156
2890;13,76012516;(-0.084, 1.034, -0.147);True;True;(0.029, 0.806, 0.129);(0.6265, 0.6731, -0.3267);False;False;False;0;0;0;0;0;0;0;0;129,161
2900;13,90012836;(-0.081, 1.034, -0.150);True;True;(0.100, 0.839, 0.086);(0.6999, -0.0357, -0.2720);False;False;False;0;0;0;0;0;0;0;0;141,428
2910;14,04013157;(-0.073, 1.034, -0.151);True;True;(0.162, 0.810, 0.074);(0.6275, -0.6017, 0.2005);False;False;False;0;0;0;0;0;0;0;0;133,89
2920;14,18013477;(-0.063, 1.034, -0.150);True;True;(0.200, 0.741, 0.077);(0.1314, -0.4714, 0.0564);False;False;False;0;0;0;0;0;0;0;0;117,448
2930;14,32013798;(-0.056, 1.034, -0.147);True;True;(0.202, 0.675, 0.097);(-0.0039, -0.2539, 0.0670);False;False;False;0;0;0;0;0;0;0;0;116,729
2940;14,46014118;(-0.056, 1.034, -0.145);True;True;(0.190, 0.646, 0.118);(0.0008, -0.1705, 0.1593);False;False;False;0;0;0;0;0;0;0;0;108,703
2950;14,60014439;(-0.064, 1.034, -0.145);True;True;(0.187, 0.642, 0.128);(-0.0084, 0.0742, -0.0163);False;True;False;1;0,7556154;0,7088934;0,5497237;0;0;0;0;168,597
2955;14,66014576;(-0.069, 1.034, -0.146);True;True;(0.187, 0.652, 0.124);(-0.0145, 0.2154, -0.1118);False;True;False;1;1;0,9229214;0,7455463;0;0;0;0;151,565
2960;14,74014759;(-0.074, 1.036, -0.148);True;True;(0.187, 0.677, 0.110);(-0.0110, 0.4019, -0.2024);False;True;False;1;1;0,9860442;0,8059534;0;0;0;0;155,747
2965;14,80014896;(-0.077, 1.039, -0.151);True;True;(0.185, 0.722, 0.089);(-0.1095, 1.0613, -0.5415);False;True;False;1;1;1;0,8076112;0;0;0;0;177,398
2970;14,88015079;(-0.079, 1.044, -0.155);True;True;(0.182, 0.762, 0.073);(-0.0270, 0.2650, -0.1210);False;True;False;1;1;1;0,8862198;0;0;0;0;189,783
2975;14,94015217;(-0.079, 1.048, -0.161);True;True;(0.181, 0.793, 0.060);(0.0443, 0.4667, -0.1877);False;True;False;1;1;1;0,9611197;0;0;0;0;201,546
2985;15,08015537;(-0.078, 1.053, -0.169);True;True;(0.177, 0.825, 0.052);(-0.0084, 0.1620, -0.0839);False;True;False;1;1;1;0,8756088;0;0;0;0;204,097
2995;15,22015858;(-0.078, 1.055, -0.172);True;True;(0.169, 0.844, 0.051);(-0.2183, 0.2821, -0.0290);False;True;False;1;1;1;0,7978035;0;0;0;0;188,938
3005;15,36016178;(-0.082, 1.052, -0.170);True;True;(0.142, 0.863, 0.049);(-0.1519, 0.0751, 0.0010);False;True;False;1;1;0,9086112;0,7265926;0;0;0;0;156,562
3015;15,50016499;(-0.092, 1.047, -0.166);True;True;(0.102, 0.882, 0.053);(-0.3728, 0.1418, 0.0288);False;True;False;1;1;1;0,7102885;0;0;0;0;143,543
3025;15,64016819;(-0.104, 1.043, -0.163);True;True;(0.023, 0.887, 0.084);(-0.4214, -0.0694, 0.2424);False;True;False;1;1;1;0,791554;0;0;0;0;135,526
3035;15,78017139;(-0.117, 1.040, -0.161);True;True;(-0.059, 0.827, 0.138);(-0.3665, -0.5833, 0.4993);False;True;False;1;1;1;0,8155808;0;0;0;0;133,962
3040;15,84017277;(-0.123, 1.040, -0.159);True;True;(-0.082, 0.789, 0.154);(-0.1818, -0.8133, 0.2538);False;True;False;1;1;1;0,6694795;0;0;0;0;141,769
3045;15,9201746;(-0.128, 1.039, -0.157);True;True;(-0.092, 0.752, 0.169);(-0.0782, -0.2970, 0.1582);False;True;False;1;1;0,9458625;0,4800333;0;0;0;0;145,967
3050;15,98017597;(-0.133, 1.038, -0.155);True;True;(-0.098, 0.745, 0.182);(-0.0177, 0.1300, 0.0241);False;False;False;0;0;0;0;0;0;0;0;164,449
3055;16,06017685;(-0.135, 1.037, -0.153);True;True;(-0.094, 0.753, 0.183);(0.0557, 0.1264, 0.0060);False;False;False;0;0;0;0;0;0;0;0;187,353
3060;16,12017822;(-0.134, 1.036, -0.152);True;True;(-0.084, 0.775, 0.180);(0.2347, 0.5706, -0.1109);False;False;False;0;0;0;0;0;0;0;0;189,155
3065;16,20018005;(-0.131, 1.036, -0.151);True;True;(-0.065, 0.827, 0.163);(0.1723, 0.3248, 0.0665);False;False;False;0;0;0;0;0;0;0;0;184,87
3070;16,26018143;(-0.125, 1.034, -0.151);True;True;(-0.029, 0.851, 0.157);(0.9215, 0.6243, -0.4335);False;False;False;0;0;0;0;0;0;0;0;158,219
3080;16,40018463;(-0.109, 1.034, -0.146);True;True;(0.051, 0.861, 0.113);(0.8590, -0.3128, -0.3032);False;False;False;0;0;0;0;0;0;0;0;146,678
3090;16,54018784;(-0.087, 1.033, -0.138);True;True;(0.127, 0.778, 0.106);(0.4146, -0.5789, 0.2128);False;False;False;0;0;0;0;0;0;0;0;152,802
3100;16,68019104;(-0.066, 1.032, -0.129);True;True;(0.137, 0.701, 0.120);(0.0354, -0.4871, 0.3067);False;False;False;0;0;0;0;0;0;0;0;171,042
3110;16,82019424;(-0.056, 1.031, -0.121);True;True;(0.127, 0.611, 0.173);(-0.1909, -0.1432, 0.0790);False;False;False;0;0;0;0;0;0;0;0;195,833
3120;16,96019745;(-0.058, 1.030, -0.114);True;True;(0.092, 0.601, 0.188);(-0.1895, -0.1182, 0.1788);False;False;False;0;0;0;0;0;0;0;0;208,203
3125;17,02019882;(-0.062, 1.030, -0.112);True;True;(0.071, 0.597, 0.200);(-0.3732, -0.0347, 0.2181);False;False;False;0;0;0;0;0;0;0;0;211,365
3130;17,10020065;(-0.066, 1.029, -0.110);True;True;(0.057, 0.600, 0.196);(-0.0812, 0.0401, -0.0551);False;False;False;0;0;0;0;0;0;0;0;207,622
3135;17,16020203;(-0.071, 1.028, -0.110);True;True;(0.051, 0.603, 0.184);(-0.0795, 0.0280, -0.1705);False;False;False;0;0;0;0;0;0;0;0;201,587
3140;17,24020386;(-0.075, 1.027, -0.111);True;True;(0.054, 0.603, 0.182);(0.0301, 0.0208, -0.0349);False;False;False;0;0;0;0;0;0;0;0;185,363
3145;17,30020523;(-0.078, 1.027, -0.113);True;True;(0.059, 0.605, 0.179);(0.1142, 0.0748, -0.1047);False;False;False;0;0;0;0;0;0;0;0;166,213
3150;17,38020706;(-0.079, 1.027, -0.116);True;True;(0.066, 0.608, 0.174);(0.0678, 0.0358, -0.0372);False;False;False;0;0;0;0;0;0;0;0;147,011
3155;17,44020844;(-0.080, 1.028, -0.118);True;True;(0.073, 0.611, 0.170);(0.1242, 0.0629, -0.0486);False;False;False;0;0;0;0;0;0;0;0;149,211
3160;17,52021027;(-0.081, 1.028, -0.120);True;True;(0.079, 0.615, 0.166);(0.0577, 0.0483, -0.0596);False;False;False;0;0;0;0;0;0;0;0;173,519
3165;17,58021164;(-0.081, 1.029, -0.123);True;True;(0.084, 0.620, 0.158);(0.0892, 0.0762, -0.1119);False;False;False;0;0;0;0;0;0;0;0;187,692
3175;17,72021484;(-0.081, 1.031, -0.129);True;True;(0.100, 0.633, 0.141);(0.2190, 0.1694, -0.2211);False;False;False;0;0;0;0;0;0;0;0;179,189
3185;17,86021805;(-0.078, 1.042, -0.136);True;True;(0.120, 0.652, 0.123);(0.1065, 0.1237, -0.1087);False;False;False;0;0;0;0;0;0;0;0;166,796
3195;18,00022125;(-0.072, 1.051, -0.149);True;True;(0.138, 0.677, 0.092);(0.0800, 0.1167, -0.1424);False;False;False;0;0;0;0;0;0;0;0;170,398
3205;18,14022446;(-0.069, 1.055, -0.160);True;True;(0.150, 0.689, 0.072);(0.0327, 0.0514, -0.0855);False;False;False;0;0;0;0;0;0;0;0;183,625
3215;18,28022766;(-0.067, 1.057, -0.167);True;True;(0.159, 0.695, 0.063);(0.0429, 0.0223, -0.0348);False;False;False;0;0;0;0;0;0;0;0;195,268
3220;18,34022903;(-0.067, 1.056, -0.168);True;True;(0.163, 0.700, 0.057);(0.0799, 0.1188, -0.1645);False;False;False;0;0;0;0;0;0;0;0;202,215
3225;18,42023087;(-0.067, 1.054, -0.168);True;True;(0.167, 0.708, 0.051);(0.0323, 0.0783, -0.0524);False;False;False;0;0;0;0;0;0;0;0;205,787
3230;18,48023224;(-0.067, 1.053, -0.168);True;True;(0.169, 0.715, 0.045);(0.0295, 0.1690, -0.1525);False;False;False;0;0;0;0;0;0;0;0;195,59
3235;18,56023407;(-0.067, 1.051, -0.166);True;True;(0.172, 0.720, 0.038);(0.0230, 0.0350, -0.0574);False;False;False;0;0;0;0;0;0;0;0;167,534
3240;18,62023544;(-0.066, 1.049, -0.165);True;True;(0.175, 0.723, 0.033);(0.0614, 0.0403, -0.0872);False;False;False;0;0;0;0;0;0;0;0;140,205
3250;18,76023865;(-0.064, 1.045, -0.161);True;True;(0.182, 0.727, 0.034);(0.0863, 0.0629, 0.1151);False;False;False;0;0;0;0;0;0;0;0;144,164
3260;18,90024185;(-0.059, 1.043, -0.153);True;True;(0.220, 0.692, 0.107);(0.1905, -0.4387, 0.6873);False;False;False;0;0;0;0;0;0;0;0;176,802
3270;19,04024506;(-0.055, 1.041, -0.140);True;True;(0.219, 0.659, 0.146);(0.0518, -0.2246, 0.2045);False;False;False;0;0;0;0;0;0;0;0;172,583
3280;19,18024826;(-0.054, 1.040, -0.132);True;True;(0.221, 0.642, 0.166);(0.0073, -0.0799, 0.0556);False;False;False;0;0;0;0;0;0;0;0;157,87
3290;19,32025146;(-0.058, 1.038, -0.132);True;True;(0.220, 0.644, 0.164);(0.0191, 0.0485, -0.0281);False;False;False;0;0;0;0;0;0;0;0;161,706
3300;19,46025467;(-0.064, 1.038, -0.138);True;True;(0.213, 0.691, 0.133);(-0.0551, 0.4823, -0.2885);False;True;False;1;1;0,98572;0,6184891;0;0;0;0;178,654
3305;19,52025604;(-0.066, 1.038, -0.143);True;True;(0.189, 0.742, 0.115);(-0.5683, 1.0747, -0.3688);False;True;False;1;1;1;0,8151758;0;0;0;0;192,737
3310;19,60025787;(-0.067, 1.039, -0.149);True;True;(0.155, 0.784, 0.108);(-0.3885, 0.3907, -0.0741);False;True;False;1;1;1;0,8874937;0;0;0;0;200,125
3315;19,66025925;(-0.069, 1.040, -0.153);True;True;(0.103, 0.813, 0.101);(-1.0484, 0.4078, -0.0366);False;True;False;1;1;1;0,8743479;0;0;0;0;201,683
3320;19,74026108;(-0.071, 1.041, -0.157);True;True;(0.057, 0.819, 0.107);(-0.4269, -0.1040, 0.1672);False;True;False;1;1;1;0,8826433;0;0;0;0;180,668
3325;19,80026245;(-0.074, 1.043, -0.158);True;True;(0.023, 0.805, 0.120);(-0.5835, -0.3432, 0.2730);False;True;False;1;1;1;0,910616;0;0;0;0;153,72
3330;19,88026428;(-0.078, 1.044, -0.158);True;True;(0.005, 0.785, 0.137);(-0.1301, -0.0497, -0.0309);False;True;False;1;1;1;0,7877204;0;0;0;0;136,391
3335;19,94026566;(-0.083, 1.044, -0.155);True;True;(0.008, 0.780, 0.146);(0.1112, -0.0443, 0.1919);False;False;False;0;0;0;0;0;0;0;0;153,854
3345;20,08026886;(-0.088, 1.042, -0.151);True;True;(0.040, 0.804, 0.137);(0.5511, 0.2960, -0.1678);False;False;False;0;0;0;0;0;0;0;0;185,155
3355;20,22027206;(-0.087, 1.039, -0.149);True;True;(0.124, 0.796, 0.119);(0.4076, -0.2604, 0.0444);False;False;False;0;0;0;0;0;0;0;0;175,833
3365;20,36027527;(-0.077, 1.037, -0.145);True;True;(0.153, 0.737, 0.117);(-0.0551, -0.2684, 0.0469);False;False;False;0;0;0;0;0;0;0;0;159,968
3375;20,50027847;(-0.067, 1.037, -0.138);True;True;(0.146, 0.671, 0.154);(0.0465, -0.4518, 0.3250);False;False;False;0;0;0;0;0;0;0;0;144,529
3385;20,64028168;(-0.063, 1.037, -0.132);True;True;(0.144, 0.637, 0.192);(-0.0341, -0.0235, 0.0325);False;False;False;0;0;0;0;0;0;0;0;141,8
3390;20,70028305;(-0.064, 1.037, -0.132);True;True;(0.142, 0.637, 0.193);(-0.0256, 0.0621, -0.0717);False;False;False;0;0;0;0;0;0;0;0;152,482
3395;20,78028488;(-0.068, 1.038, -0.133);True;True;(0.145, 0.639, 0.191);(0.0596, 0.0504, -0.0163);False;True;False;1;1;1;0,7924652;0;0;0;0;172,337
3400;20,84028625;(-0.074, 1.037, -0.134);True;True;(0.151, 0.649, 0.183);(0.1487, 0.2580, -0.2095);False;True;False;1;1;1;0,802512;0;0;0;0;198,791
3405;20,92028809;(-0.079, 1.037, -0.137);True;True;(0.158, 0.686, 0.155);(0.0439, 0.5183, -0.3963);False;True;False;1;1;1;0,7516632;0;0;0;0;205,29
3410;20,98028946;(-0.083, 1.036, -0.142);True;True;(0.156, 0.743, 0.124);(-0.0848, 1.0355, -0.3761);False;True;False;1;1;1;0,7695713;0;0;0;0;180,931
3415;21,06029129;(-0.086, 1.036, -0.146);True;True;(0.138, 0.795, 0.105);(-0.3430, 0.5820, -0.2807);False;True;False;1;1;1;0,7711599;0;0;0;0;142,298
3420;21,12029266;(-0.089, 1.037, -0.151);True;True;(0.101, 0.833, 0.094);(-0.7543, 0.7401, -0.1635);False;True;False;1;1;1;0,6408715;0;0;0;0;128,458
3430;21,26029587;(-0.095, 1.039, -0.156);True;True;(0.017, 0.843, 0.105);(-0.8353, -0.2195, 0.1803);False;True;False;1;1;0,923192;0,5625924;0;0;0;0;158,503
3440;21,40029907;(-0.103, 1.041, -0.154);True;True;(-0.050, 0.782, 0.144);(-0.1689, -0.3115, 0.1543);False;True;False;1;1;0,9379331;0,4669304;0;0;0;0;169,892
3450;21,54030228;(-0.111, 1.039, -0.149);True;True;(-0.055, 0.768, 0.165);(0.0874, 0.1313, -0.0122);False;False;False;0;0;0;0;0;0;0;0;189,878
3460;21,68030548;(-0.112, 1.037, -0.147);True;True;(0.004, 0.827, 0.143);(0.4398, 0.2942, -0.2029);False;False;False;0;0;0;0;0;0;0;0;193,1
3470;21,82030869;(-0.104, 1.036, -0.145);True;True;(0.098, 0.832, 0.123);(0.3982, -0.1743, -0.0568);False;False;False;0;0;0;0;0;0;0;0;179,776
3475;21,88031006;(-0.096, 1.035, -0.145);True;True;(0.127, 0.794, 0.122);(0.6680, -1.1274, 0.3851);False;False;False;0;0;0;0;0;0;0;0;169,191
3480;21,96031189;(-0.088, 1.035, -0.143);True;True;(0.150, 0.739, 0.141);(0.2137, -0.5873, 0.2912);False;False;False;0;0;0;0;0;0;0;0;137,839
3485;22,02031326;(-0.079, 1.036, -0.141);True;True;(0.137, 0.700, 0.147);(-0.2050, -0.8562, 0.2724);False;False;False;0;0;0;0;0;0;0;0;139,544
3490;22,10031509;(-0.072, 1.037, -0.137);True;True;(0.127, 0.661, 0.168);(-0.1398, -0.3371, 0.1737);False;False;False;0;0;0;0;0;0;0;0;165,698
3495;22,16031647;(-0.067, 1.037, -0.134);True;True;(0.109, 0.652, 0.177);(-0.2615, -0.1438, 0.1217);False;False;False;0;0;0;0;0;0;0;0;186,696
3500;22,2403183;(-0.065, 1.037, -0.132);True;True;(0.094, 0.647, 0.184);(-0.1054, 0.0013, 0.0542);False;False;False;0;0;0;0;0;0;0;0;204,917
3505;22,30031967;(-0.065, 1.036, -0.131);True;True;(0.087, 0.647, 0.186);(-0.0963, -0.0113, 0.0302);False;False;False;0;0;0;0;0;0;0;0;202,071
3515;22,44032288;(-0.073, 1.036, -0.133);True;True;(0.096, 0.651, 0.181);(0.1793, 0.1419, -0.1409);False;True;False;1;1;0,9928442;0,5772089;0;0;0;0;188,02
3525;22,58032608;(-0.082, 1.036, -0.139);True;True;(0.131, 0.713, 0.136);(0.1214, 0.5536, -0.3768);False;True;False;1;1;0,9623464;0,6126058;0;0;0;0;168,769
3535;22,72032928;(-0.087, 1.037, -0.147);True;True;(0.115, 0.808, 0.100);(-0.2307, 0.3952, -0.1015);False;True;False;1;1;0,9739833;0,5887442;0;0;0;0;168,273
3545;22,86033249;(-0.089, 1.039, -0.154);True;True;(0.044, 0.857, 0.094);(-0.3870, -0.0045, 0.1547);False;True;False;1;1;0,8981526;0,5468767;0;0;0;0;179,812
3555;23,00033569;(-0.091, 1.042, -0.159);True;True;(-0.031, 0.815, 0.125);(-0.3146, -0.2720, 0.2057);False;True;False;1;1;1;0,605953;0;0;0;0;181,711
3560;23,06033707;(-0.092, 1.043, -0.160);True;True;(-0.051, 0.781, 0.145);(-0.2762, -0.6481, 0.5385);False;True;False;1;1;0,8774005;0,4334259;0;0;0;0;186,193
3565;23,1403389;(-0.093, 1.044, -0.159);True;True;(-0.049, 0.768, 0.154);(0.1249, -0.0820, 0.0465);False;False;False;0;0;0;0;0;0;0;0;189,369
3570;23,20034027;(-0.093, 1.043, -0.158);True;True;(-0.038, 0.775, 0.152);(0.2379, 0.1990, -0.0506);False;False;False;0;0;0;0;0;0;0;0;165,12
3575;23,2803421;(-0.091, 1.043, -0.157);True;True;(-0.006, 0.794, 0.140);(0.4971, 0.2957, -0.2314);False;False;False;0;0;0;0;0;0;0;0;124,815
3580;23,34034348;(-0.088, 1.041, -0.156);True;True;(0.049, 0.835, 0.102);(1.1240, 0.6677, -0.6587);False;False;False;0;0;0;0;0;0;0;0;129,316
3585;23,42034531;(-0.084, 1.040, -0.156);True;True;(0.097, 0.860, 0.062);(0.4132, 0.2400, -0.4816);False;False;False;0;0;0;0;0;0;0;0;185,713
3590;23,48034668;(-0.080, 1.039, -0.156);True;True;(0.133, 0.868, 0.035);(0.6213, 0.0640, -0.5808);False;False;False;0;0;0;0;0;0;0;0;187,75
3600;23,62034988;(-0.071, 1.040, -0.157);True;True;(0.182, 0.856, 0.001);(0.3383, -0.2454, -0.2943);False;False;False;0;0;0;0;0;0;0;0;171,335
